date,mode,cluster,endpoint,url,protocol,type,target_msg,threshold,total_samples,available_samples,unavailable_samples,availability_pct,downtime_minutes,min_value,note
2026-04-03,weekly,ap,NXRTK-MSM5,ap.all-freq.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,502.0,
2026-04-03,weekly,ap,NXRTK-MSM5,ap.all-freq.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,502.0,
2026-04-03,weekly,ap,NXRTK-MSM5,ap.l1l2.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,502.0,
2026-04-03,weekly,ap,NXRTK-MSM5,ap.l1l2.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,502.0,
2026-04-03,weekly,ap,NXRTK-MSM5,ap.l1l5.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,502.0,
2026-04-03,weekly,ap,NXRTK-MSM5,ap.l1l5.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,502.0,
2026-04-03,weekly,ap,NXRTK-RTCM31,ap-enterprise.all-freq.skylark.swiftnav.com:2103,https:,Standard,1006,50,1440,1440,0,100.0,0.0,60.0,
2026-04-03,weekly,ap,NXRTK-RTCM31,ap-enterprise.l1l2.skylark.swiftnav.com:2103,https:,Standard,1006,50,1440,1440,0,100.0,0.0,60.0,
2026-04-03,weekly,ap,NXRTK-RTCM31,ap-enterprise.l1l5.skylark.swiftnav.com:2103,https:,Standard,1006,50,1440,1440,0,100.0,0.0,60.0,
2026-04-03,weekly,ap,NXRTK-RTCM31,ap.all-freq.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,60.0,
2026-04-03,weekly,ap,NXRTK-RTCM31,ap.all-freq.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,60.0,
2026-04-03,weekly,ap,NXRTK-RTCM31,ap.l1l2.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,60.0,
2026-04-03,weekly,ap,NXRTK-RTCM31,ap.l1l2.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,60.0,
2026-04-03,weekly,ap,NXRTK-RTCM31,ap.l1l5.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,60.0,
2026-04-03,weekly,ap,NXRTK-RTCM31,ap.l1l5.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,60.0,
2026-04-03,weekly,ap,OSR,ap-enterprise.all-freq.skylark.swiftnav.com:2103,https:,Standard,1006,50,1440,1440,0,100.0,0.0,119.97,
2026-04-03,weekly,ap,OSR,ap-enterprise.l1l2.skylark.swiftnav.com:2103,https:,Standard,1006,50,1440,1440,0,100.0,0.0,119.97,
2026-04-03,weekly,ap,OSR,ap-enterprise.l1l5.skylark.swiftnav.com:2103,https:,Standard,1006,50,1440,1440,0,100.0,0.0,118.0,
2026-04-03,weekly,ap,OSR,ap.all-freq.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,119.97,
2026-04-03,weekly,ap,OSR,ap.all-freq.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,119.97,
2026-04-03,weekly,ap,OSR,ap.l1l2.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,118.0,
2026-04-03,weekly,ap,OSR,ap.l1l2.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,119.97,
2026-04-03,weekly,ap,OSR,ap.l1l5.skylark.swiftnav.com:2101,http:,Standard,1006,50,1440,1440,0,100.0,0.0,119.97,
2026-04-03,weekly,ap,OSR,ap.l1l5.skylark.swiftnav.com:2102,https:,Standard,1006,50,1440,1440,0,100.0,0.0,118.0,
2026-04-03,weekly,ap,SSR,ap-enterprise.all-freq.skylark.swiftnav.com:2103,https:,SSR,1060,10,1440,1440,0,100.0,0.0,23.99,
2026-04-03,weekly,ap,SSR,ap-enterprise.l1l2.skylark.swiftnav.com:2103,https:,SSR,1060,10,1440,1440,0,100.0,0.0,22.0,
2026-04-03,weekly,ap,SSR,ap-enterprise.l1l5.skylark.swiftnav.com:2103,https:,SSR,1060,10,1440,1440,0,100.0,0.0,22.0,
2026-04-03,weekly,ap,SSR,ap.all-freq.skylark.swiftnav.com:2101,http:,SSR,1060,10,1440,1440,0,100.0,0.0,23.99,
2026-04-03,weekly,ap,SSR,ap.all-freq.skylark.swiftnav.com:2102,https:,SSR,1060,10,1440,1440,0,100.0,0.0,23.99,
2026-04-03,weekly,ap,SSR,ap.l1l2.skylark.swiftnav.com:2101,http:,SSR,1060,10,1440,1440,0,100.0,0.0,22.0,
2026-04-03,weekly,ap,SSR,ap.l1l2.skylark.swiftnav.com:2102,https:,SSR,1060,10,1440,1440,0,100.0,0.0,22.0,
2026-04-03,weekly,ap,SSR,ap.l1l5.skylark.swiftnav.com:2101,http:,SSR,1060,10,1440,1440,0,100.0,0.0,22.0,
2026-04-03,weekly,ap,SSR,ap.l1l5.skylark.swiftnav.com:2102,https:,SSR,1060,10,1440,1440,0,100.0,0.0,22.0,
2026-04-03,weekly,ap,SSR-integrity,ap-enterprise.l1l2.skylark.swiftnav.com:2103,https:,SSR,1060,10,1440,1440,0,100.0,0.0,23.99,
2026-04-03,weekly,ap,SSR-integrity,ap-enterprise.l1l5.skylark.swiftnav.com:2103,https:,SSR,1060,10,1440,1440,0,100.0,0.0,23.99,
2026-04-03,weekly,ap,SSR-integrity,ap.l1l2.skylark.swiftnav.com:2101,http:,SSR,1060,10,1440,1440,0,100.0,0.0,23.99,
2026-04-03,weekly,ap,SSR-integrity,ap.l1l2.skylark.swiftnav.com:2102,https:,SSR,1060,10,1440,1440,0,100.0,0.0,23.99,
2026-04-03,weekly,ap,SSR-integrity,ap.l1l5.skylark.swiftnav.com:2101,http:,SSR,1060,10,1440,1440,0,100.0,0.0,22.0,
2026-04-03,weekly,ap,SSR-integrity,ap.l1l5.skylark.swiftnav.com:2102,https:,SSR,1060,10,1440,1440,0,100.0,0.0,23.99,
2026-04-03,weekly,eu,DX-MSM1,eu-enterprise.all-freq.skylark.swiftnav.com:2103,https:,Standard,1006,50,1406,1406,0,100.0,0.0,741.56,
2026-04-03,weekly,eu,DX-MSM1,eu-enterprise.l1l2.skylark.swiftnav.com:2103,https:,Standard,1006,50,1406,1405,1,99.929,1.0,117.76,
2026-04-03,weekly,eu,DX-MSM1,eu-enterprise.l1l5.skylark.swiftnav.com:2103,https:,Standard,1006,50,1406,1406,0,100.0,0.0,124.76,
2026-04-03,weekly,eu,DX-MSM1,eu.all-freq.skylark.swiftnav.com:2101,http:,Standard,1006,50,1406,1406,0,100.0,0.0,953.16,
2026-04-03,weekly,eu,DX-MSM1,eu.all-freq.skylark.swiftnav.com:2102,https:,Standard,1006,50,1406,1406,0,100.0,0.0,848.32,
2026-04-03,weekly,eu,DX-MSM1,eu.l1l2.skylark.swiftnav.com:2101,http:,Standard,1006,50,1406,1404,2,99.858,2.0,133.76,
2026-04-03,weekly,eu,DX-MSM1,eu.l1l2.skylark.swiftnav.com:2102,https:,Standard,1006,50,1406,1405,1,99.929,1.0,110.76,
2026-04-03,weekly,eu,DX-MSM1,eu.l1l5.skylark.swiftnav.com:2101,http:,Standard,1006,50,1406,1406,0,100.0,0.0,137.76,
2026-04-03,weekly,eu,DX-MSM1,eu.l1l5.skylark.swiftnav.com:2102,https:,Standard,1006,50,1406,1406,0,100.0,0.0,117.76,
2026-04-03,weekly,eu,MSM4,eu-enterprise.all-freq.skylark.swiftnav.com:2103,https:,Standard,1006,50,1406,1406,0,100.0,0.0,129.76,
2026-04-03,weekly,eu,MSM4,eu-enterprise.l1l2.skylark.swiftnav.com:2103,https:,Standard,1006,50,1406,1405,1,99.929,1.0,118.76,
